KINETIC_KINEMATIC::RFT::DistEndPos
File	Frame	X 	Y 	Z 
vsfxa-004-004.mvnx	1	0.946515	0.225902	0.146211
 - 	2	0.946564	0.225932	0.143936
 - 	3	0.946569	0.225958	0.144703
 - 	4	0.946572	0.225975	0.144376
 - 	5	0.946575	0.225984	0.144353
 - 	6	0.946578	0.225986	0.144280
 - 	7	0.946548	0.225967	0.144230
 - 	8	0.946550	0.225929	0.144184
 - 	9	0.946553	0.225952	0.144129
 - 	10	0.946548	0.225980	0.144080
 - 	11	0.946540	0.225982	0.144031
 - 	12	0.946531	0.225998	0.143990
 - 	13	0.946544	0.226002	0.143953
 - 	14	0.946516	0.225982	0.143923
 - 	15	0.946482	0.225973	0.143882
 - 	16	0.946452	0.225962	0.143851
 - 	17	0.946441	0.225957	0.143828
 - 	18	0.946453	0.225930	0.143819
 - 	19	0.946441	0.225936	0.143805
 - 	20	0.946436	0.225915	0.143788
 - 	21	0.946405	0.225903	0.143781
 - 	22	0.946365	0.225906	0.143767
 - 	23	0.946335	0.225922	0.143763
 - 	24	0.946321	0.225930	0.143756
 - 	25	0.946310	0.225919	0.143752
 - 	26	0.946341	0.225940	0.143738
 - 	27	0.946336	0.225922	0.143746
 - 	28	0.946303	0.225916	0.143738
 - 	29	0.946257	0.225919	0.143739
 - 	30	0.946251	0.225905	0.143743
 - 	31	0.946258	0.225884	0.143735
 - 	32	0.946253	0.225880	0.143701
 - 	33	0.946275	0.225881	0.143699
 - 	34	0.946269	0.225883	0.143695
 - 	35	0.946244	0.225904	0.143690
 - 	36	0.946246	0.225897	0.143689
 - 	37	0.946240	0.225882	0.143696
 - 	38	0.946246	0.225867	0.143696
 - 	39	0.946239	0.225869	0.143693
 - 	40	0.946249	0.225869	0.143689
 - 	41	0.946257	0.225844	0.143684
 - 	42	0.946271	0.225833	0.143678
 - 	43	0.946272	0.225852	0.143679
 - 	44	0.946324	0.225773	0.143676
 - 	45	0.946321	0.225763	0.143688
 - 	46	0.946321	0.225777	0.143687
 - 	47	0.946313	0.225792	0.143685
 - 	48	0.946289	0.225810	0.143685
 - 	49	0.946284	0.225810	0.143682
 - 	50	0.946347	0.225802	0.143634
 - 	51	0.946338	0.225810	0.143631
 - 	52	0.946324	0.225802	0.143649
 - 	53	0.946316	0.225794	0.143653
 - 	54	0.946311	0.225783	0.143655
 - 	55	0.946287	0.225802	0.143655
 - 	56	0.946329	0.225747	0.143692
 - 	57	0.946283	0.225752	0.143696
 - 	58	0.946251	0.225749	0.143699
 - 	59	0.946229	0.225751	0.143696
 - 	60	0.946211	0.225749	0.143707
 - 	61	0.946219	0.225718	0.143715
 - 	62	0.946220	0.225702	0.143747
 - 	63	0.946226	0.225672	0.143748
 - 	64	0.946227	0.225654	0.143756
 - 	65	0.946262	0.225660	0.143761
 - 	66	0.946264	0.225630	0.143786
 - 	67	0.946266	0.225629	0.143801
 - 	68	0.946182	0.225661	0.143743
 - 	69	0.946168	0.225668	0.143765
 - 	70	0.946168	0.225676	0.143797
 - 	71	0.946162	0.225675	0.143831
 - 	72	0.946142	0.225692	0.143854
 - 	73	0.946132	0.225715	0.143861
 - 	74	0.946139	0.225736	0.143851
 - 	75	0.946186	0.225731	0.143867
 - 	76	0.946215	0.225710	0.143878
 - 	77	0.946241	0.225700	0.143879
 - 	78	0.946251	0.225676	0.143887
 - 	79	0.946273	0.225654	0.143887
 - 	80	0.946358	0.225646	0.144130
 - 	81	0.946328	0.225589	0.144343
 - 	82	0.946307	0.225537	0.144532
 - 	83	0.946275	0.225491	0.144742
 - 	84	0.946218	0.225470	0.144942
 - 	85	0.946186	0.225448	0.145124
 - 	86	0.946137	0.225431	0.145289
 - 	87	0.946051	0.225382	0.145449
 - 	88	0.945954	0.225364	0.145610
 - 	89	0.945864	0.225348	0.145757
 - 	90	0.945766	0.225340	0.145892
 - 	91	0.945674	0.225321	0.146025
 - 	92	0.945602	0.225216	0.145958
 - 	93	0.945515	0.225171	0.146069
 - 	94	0.945433	0.225116	0.146170
 - 	95	0.945387	0.225108	0.146264
 - 	96	0.945300	0.225125	0.146349
 - 	97	0.945227	0.225181	0.146427
 - 	98	0.945124	0.225116	0.146476
 - 	99	0.945133	0.225134	0.146558
 - 	100	0.945194	0.225138	0.146628
 - 	101	0.945222	0.225100	0.146421
 - 	102	0.945217	0.225072	0.146481
 - 	103	0.945201	0.225028	0.146516
 - 	104	0.945147	0.224915	0.146547
 - 	105	0.945154	0.224887	0.146612
 - 	106	0.945159	0.224849	0.146666
 - 	107	0.945135	0.224845	0.146718
 - 	108	0.945107	0.224780	0.146770
 - 	109	0.945073	0.224681	0.146805
 - 	110	0.945020	0.224435	0.146820
 - 	111	0.944933	0.224272	0.146818
 - 	112	0.944817	0.224136	0.146806
 - 	113	0.944788	0.224050	0.146815
