KINETIC_KINEMATIC::LFT::DistEndPos
File	Frame	X 	Y 	Z 
vsfxa-001-005.mvnx	1	7.384279	-3.484852	0.157544
 - 	2	7.383414	-3.484467	0.156838
 - 	3	7.382443	-3.483961	0.156501
 - 	4	7.382198	-3.483641	0.155811
 - 	5	7.381371	-3.483145	0.155343
 - 	6	7.380869	-3.482649	0.154953
 - 	7	7.380217	-3.481995	0.154688
 - 	8	7.378923	-3.481819	0.154362
 - 	9	7.378489	-3.481246	0.154095
 - 	10	7.378169	-3.480733	0.153934
 - 	11	7.377801	-3.480298	0.153832
 - 	12	7.377396	-3.479985	0.153805
 - 	13	7.377186	-3.479632	0.153805
 - 	14	7.377011	-3.479520	0.153794
 - 	15	7.376503	-3.479805	0.153969
 - 	16	7.376285	-3.480003	0.154098
 - 	17	7.375935	-3.480569	0.154230
 - 	18	7.375761	-3.481163	0.154425
 - 	19	7.376007	-3.481411	0.154863
 - 	20	7.376686	-3.481454	0.155260
 - 	21	7.377399	-3.481411	0.155696
 - 	22	7.377897	-3.481426	0.156044
 - 	23	7.378321	-3.481531	0.156340
 - 	24	7.378993	-3.481746	0.156609
 - 	25	7.379951	-3.481994	0.156843
 - 	26	7.380872	-3.482410	0.157042
 - 	27	7.381106	-3.482716	0.157341
 - 	28	7.381195	-3.482964	0.157693
 - 	29	7.381242	-3.483225	0.158058
 - 	30	7.381143	-3.483663	0.158320
 - 	31	7.381296	-3.484131	0.158601
 - 	32	7.381998	-3.484978	0.158809
 - 	33	7.382129	-3.485302	0.158989
 - 	34	7.382268	-3.485515	0.158976
 - 	35	7.382292	-3.485641	0.159046
 - 	36	7.382139	-3.485623	0.158988
 - 	37	7.382052	-3.485626	0.158912
 - 	38	7.382397	-3.485919	0.158719
 - 	39	7.382199	-3.485696	0.158665
 - 	40	7.382182	-3.485377	0.158664
 - 	41	7.382304	-3.485176	0.158718
 - 	42	7.382397	-3.485351	0.158848
 - 	43	7.382505	-3.485650	0.159054
 - 	44	7.382963	-3.485963	0.159291
 - 	45	7.383126	-3.486242	0.159601
 - 	46	7.383301	-3.486465	0.159930
 - 	47	7.383299	-3.486813	0.160299
 - 	48	7.383171	-3.487317	0.160732
 - 	49	7.383212	-3.487679	0.161161
 - 	50	7.383828	-3.487517	0.161455
 - 	51	7.384180	-3.487538	0.161683
 - 	52	7.384310	-3.487703	0.161915
