KINETIC_KINEMATIC::LFT::ProxEndPos
File	Frame	X 	Y 	Z 
vsfxa-001-005.mvnx	1	7.407080	-3.730282	0.167275
 - 	2	7.406291	-3.729849	0.167553
 - 	3	7.405341	-3.729289	0.168352
 - 	4	7.405221	-3.728896	0.168868
 - 	5	7.404652	-3.728305	0.169661
 - 	6	7.404520	-3.727699	0.170490
 - 	7	7.404400	-3.726919	0.171368
 - 	8	7.403866	-3.726587	0.172172
 - 	9	7.404231	-3.725857	0.172885
 - 	10	7.404717	-3.725195	0.173536
 - 	11	7.405102	-3.724624	0.174080
 - 	12	7.405338	-3.724199	0.174519
 - 	13	7.405667	-3.723760	0.174810
 - 	14	7.406004	-3.723580	0.174877
 - 	15	7.406055	-3.723810	0.174914
 - 	16	7.406462	-3.723959	0.174719
 - 	17	7.406777	-3.724481	0.174381
 - 	18	7.407247	-3.725037	0.174039
 - 	19	7.407992	-3.725262	0.173940
 - 	20	7.408939	-3.725311	0.173810
 - 	21	7.409660	-3.725301	0.173792
 - 	22	7.410060	-3.725360	0.173721
 - 	23	7.410472	-3.725496	0.173603
 - 	24	7.411263	-3.725725	0.173436
 - 	25	7.412357	-3.725988	0.173199
 - 	26	7.413321	-3.726432	0.172874
 - 	27	7.413521	-3.726779	0.172602
 - 	28	7.413629	-3.727064	0.172318
 - 	29	7.413833	-3.727342	0.172020
 - 	30	7.413941	-3.727791	0.171597
 - 	31	7.414167	-3.728284	0.171229
 - 	32	7.414825	-3.729163	0.170903
 - 	33	7.414904	-3.729511	0.170749
 - 	34	7.415037	-3.729729	0.170638
 - 	35	7.415099	-3.729846	0.170796
 - 	36	7.415047	-3.729802	0.170997
 - 	37	7.415090	-3.729770	0.171264
 - 	38	7.415561	-3.730023	0.171515
 - 	39	7.415347	-3.729780	0.171877
 - 	40	7.415183	-3.729461	0.172254
 - 	41	7.415123	-3.729269	0.172581
 - 	42	7.415093	-3.729452	0.172845
 - 	43	7.415188	-3.729753	0.173063
 - 	44	7.415684	-3.730066	0.173214
 - 	45	7.415872	-3.730350	0.173369
 - 	46	7.415999	-3.730592	0.173486
 - 	47	7.415946	-3.730963	0.173547
 - 	48	7.415877	-3.731481	0.173563
 - 	49	7.416079	-3.731847	0.173498
 - 	50	7.416728	-3.731704	0.173320
 - 	51	7.416917	-3.731769	0.173093
 - 	52	7.416913	-3.731972	0.172867
 - 	53	7.416744	-3.732283	0.172714
 - 	54	7.416439	-3.732602	0.172640
 - 	55	7.416186	-3.732752	0.172578
 - 	56	7.416066	-3.732440	0.172506
 - 	57	7.416026	-3.732269	0.172453
 - 	58	7.415952	-3.732146	0.172421
 - 	59	7.415788	-3.732071	0.172415
 - 	60	7.415662	-3.731985	0.172416
 - 	61	7.415601	-3.731833	0.172380
 - 	62	7.415634	-3.731355	0.172282
 - 	63	7.415537	-3.731134	0.172218
 - 	64	7.415440	-3.731013	0.172177
 - 	65	7.415401	-3.730908	0.172133
 - 	66	7.415348	-3.730758	0.172063
 - 	67	7.415301	-3.730536	0.171982
 - 	68	7.415214	-3.729791	0.171937
 - 	69	7.415128	-3.729472	0.171866
 - 	70	7.415092	-3.729163	0.171822
 - 	71	7.415116	-3.728858	0.171801
 - 	72	7.415139	-3.728592	0.171790
 - 	73	7.415159	-3.728386	0.171785
 - 	74	7.414701	-3.727806	0.171869
 - 	75	7.414639	-3.727477	0.171888
 - 	76	7.414577	-3.727206	0.171873
 - 	77	7.414558	-3.726928	0.171848
 - 	78	7.414510	-3.726645	0.171828
 - 	79	7.414460	-3.726365	0.171822
 - 	80	7.413992	-3.725664	0.171879
 - 	81	7.414095	-3.725329	0.171840
 - 	82	7.414162	-3.725083	0.171778
 - 	83	7.414252	-3.724904	0.171686
 - 	84	7.414281	-3.724777	0.171567
 - 	85	7.414285	-3.724681	0.171434
 - 	86	7.413610	-3.724372	0.171400
 - 	87	7.413682	-3.724145	0.171271
 - 	88	7.413804	-3.723900	0.171126
 - 	89	7.413889	-3.723701	0.170989
 - 	90	7.413952	-3.723541	0.170866
 - 	91	7.413929	-3.723335	0.170737
 - 	92	7.413374	-3.722673	0.170684
 - 	93	7.413877	-3.722611	0.170453
 - 	94	7.414139	-3.722492	0.170224
 - 	95	7.414043	-3.722448	0.170009
 - 	96	7.413882	-3.722329	0.169812
 - 	97	7.413615	-3.722212	0.169504
 - 	98	7.412810	-3.721888	0.169324
 - 	99	7.413007	-3.721686	0.169085
 - 	100	7.413245	-3.721487	0.168832
 - 	101	7.413279	-3.721349	0.168558
 - 	102	7.413085	-3.721303	0.168330
 - 	103	7.412828	-3.721381	0.168168
 - 	104	7.412026	-3.721414	0.168104
 - 	105	7.412181	-3.721527	0.167945
 - 	106	7.412260	-3.721539	0.167773
 - 	107	7.412245	-3.721454	0.167640
 - 	108	7.412354	-3.721392	0.167568
 - 	109	7.412340	-3.721312	0.167580
 - 	110	7.411713	-3.721117	0.167805
 - 	111	7.411808	-3.721165	0.168079
 - 	112	7.411994	-3.721231	0.168485
 - 	113	7.412181	-3.721175	0.169017
 - 	114	7.412502	-3.720989	0.169632
 - 	115	7.412650	-3.720711	0.170345
 - 	116	7.412051	-3.720153	0.171224
 - 	117	7.412410	-3.719867	0.172091
 - 	118	7.412858	-3.719568	0.172925
 - 	119	7.413185	-3.719349	0.173721
 - 	120	7.413203	-3.719084	0.174500
 - 	121	7.412950	-3.718732	0.175274
 - 	122	7.412132	-3.717669	0.176053
 - 	123	7.411722	-3.717244	0.176704
 - 	124	7.410580	-3.717383	0.177240
 - 	125	7.407695	-3.718399	0.177605
 - 	126	7.404067	-3.718793	0.178621
 - 	127	7.401263	-3.719587	0.180018
 - 	128	7.398644	-3.721217	0.182189
 - 	129	7.398321	-3.726180	0.185023
 - 	130	7.399120	-3.735026	0.188962
 - 	131	7.399026	-3.747266	0.194280
 - 	132	7.398601	-3.761973	0.200957
 - 	133	7.397821	-3.777620	0.208679
 - 	134	7.397297	-3.792112	0.217042
 - 	135	7.397498	-3.807462	0.225443
 - 	136	7.397818	-3.822108	0.233673
 - 	137	7.397597	-3.835974	0.241332
 - 	138	7.397019	-3.849040	0.248308
 - 	139	7.396290	-3.861163	0.254389
 - 	140	7.394882	-3.871737	0.259365
 - 	141	7.392671	-3.881618	0.262852
 - 	142	7.388959	-3.887755	0.262835
 - 	143	7.385422	-3.888617	0.258154
 - 	144	7.380503	-3.886119	0.250385
 - 	145	7.375371	-3.879988	0.240828
 - 	146	7.371774	-3.868921	0.230142
 - 	147	7.368183	-3.858811	0.221114
 - 	148	7.364161	-3.856426	0.217388
 - 	149	7.362489	-3.856768	0.215563
 - 	150	7.362284	-3.858770	0.214084
 - 	151	7.362803	-3.860157	0.213790
 - 	152	7.364674	-3.861761	0.213361
 - 	153	7.365791	-3.863295	0.212912
 - 	154	7.367748	-3.864567	0.212206
 - 	155	7.370230	-3.866360	0.211240
 - 	156	7.373199	-3.867774	0.210287
 - 	157	7.376212	-3.869035	0.209523
 - 	158	7.378788	-3.870303	0.208991
 - 	159	7.380588	-3.870816	0.208885
 - 	160	7.381062	-3.871539	0.209110
 - 	161	7.381016	-3.871692	0.209524
 - 	162	7.380677	-3.871510	0.209247
 - 	163	7.380307	-3.870968	0.209050
 - 	164	7.379668	-3.870565	0.208981
 - 	165	7.378090	-3.869188	0.209501
 - 	166	7.377052	-3.866519	0.210628
 - 	167	7.377705	-3.864085	0.212938
 - 	168	7.379659	-3.864913	0.217314
 - 	169	7.383943	-3.868773	0.224086
 - 	170	7.389307	-3.874337	0.232615
 - 	171	7.394358	-3.881540	0.242684
 - 	172	7.399922	-3.888933	0.253478
 - 	173	7.405045	-3.895952	0.264876
 - 	174	7.409307	-3.902851	0.274520
 - 	175	7.411814	-3.902178	0.276771
 - 	176	7.412727	-3.897263	0.270126
 - 	177	7.409492	-3.888963	0.259276
 - 	178	7.403471	-3.875355	0.245095
 - 	179	7.395306	-3.858322	0.229010
 - 	180	7.387763	-3.850039	0.218736
 - 	181	7.381102	-3.853428	0.216463
 - 	182	7.377909	-3.854847	0.213424
 - 	183	7.375198	-3.859736	0.211660
 - 	184	7.372970	-3.861144	0.211383
 - 	185	7.373617	-3.864147	0.210396
 - 	186	7.375848	-3.866129	0.209452
 - 	187	7.377191	-3.867902	0.208224
 - 	188	7.376742	-3.871773	0.206656
 - 	189	7.376799	-3.874876	0.205139
 - 	190	7.376707	-3.878131	0.203565
 - 	191	7.377475	-3.881122	0.201677
 - 	192	7.378406	-3.884244	0.199611
 - 	193	7.379312	-3.886863	0.197530
 - 	194	7.379732	-3.890567	0.195516
 - 	195	7.380549	-3.892859	0.193603
 - 	196	7.381606	-3.894566	0.192032
 - 	197	7.382599	-3.895169	0.191008
 - 	198	7.383563	-3.894886	0.190684
 - 	199	7.384908	-3.893611	0.190861
 - 	200	7.386108	-3.892959	0.191115
 - 	201	7.386434	-3.893163	0.191216
 - 	202	7.387036	-3.892762	0.191263
 - 	203	7.387223	-3.892715	0.191205
 - 	204	7.387638	-3.892229	0.191003
 - 	205	7.387867	-3.890368	0.191235
 - 	206	7.387823	-3.889512	0.191952
 - 	207	7.387148	-3.887080	0.193298
 - 	208	7.386556	-3.884728	0.195079
 - 	209	7.387100	-3.881153	0.197112
 - 	210	7.389498	-3.876213	0.199483
 - 	211	7.393309	-3.870588	0.202141
 - 	212	7.397388	-3.864974	0.204868
 - 	213	7.402435	-3.861596	0.208239
 - 	214	7.407734	-3.860053	0.211979
 - 	215	7.412123	-3.860171	0.216010
 - 	216	7.415599	-3.861460	0.219995
 - 	217	7.418334	-3.863599	0.223422
 - 	218	7.420465	-3.865556	0.225812
 - 	219	7.422179	-3.868325	0.227530
 - 	220	7.422964	-3.870138	0.227154
 - 	221	7.423386	-3.867908	0.223341
 - 	222	7.425796	-3.867614	0.219247
 - 	223	7.424771	-3.869662	0.217455
 - 	224	7.423684	-3.872490	0.215311
 - 	225	7.423964	-3.875978	0.213880
 - 	226	7.425948	-3.877758	0.213360
 - 	227	7.427330	-3.878858	0.213782
 - 	228	7.428531	-3.879227	0.214878
 - 	229	7.429361	-3.879016	0.216572
 - 	230	7.429072	-3.878284	0.218699
 - 	231	7.427681	-3.878095	0.221040
 - 	232	7.426070	-3.877617	0.222149
 - 	233	7.425522	-3.876356	0.222774
 - 	234	7.425750	-3.874828	0.222676
 - 	235	7.425973	-3.874337	0.221918
 - 	236	7.426304	-3.874518	0.220569
 - 	237	7.426473	-3.874823	0.218900
 - 	238	7.426655	-3.875159	0.218127
 - 	239	7.427171	-3.876084	0.217386
 - 	240	7.427268	-3.877270	0.217378
 - 	241	7.426054	-3.877311	0.217279
 - 	242	7.424884	-3.875933	0.218043
 - 	243	7.422805	-3.875381	0.220014
 - 	244	7.420861	-3.876266	0.223392
 - 	245	7.419721	-3.879148	0.227926
 - 	246	7.419126	-3.883228	0.233064
 - 	247	7.418995	-3.887552	0.238411
 - 	248	7.419816	-3.890733	0.243363
 - 	249	7.421366	-3.893373	0.247712
 - 	250	7.422845	-3.895334	0.250919
 - 	251	7.425235	-3.895841	0.251463
 - 	252	7.428253	-3.893411	0.247476
 - 	253	7.428665	-3.887115	0.239464
 - 	254	7.428649	-3.880893	0.230937
 - 	255	7.430473	-3.883957	0.227905
 - 	256	7.429460	-3.884250	0.225022
 - 	257	7.430914	-3.885603	0.222404
 - 	258	7.431477	-3.888217	0.220736
 - 	259	7.432125	-3.890281	0.219536
 - 	260	7.431858	-3.892358	0.218753
 - 	261	7.431493	-3.893862	0.218139
 - 	262	7.431206	-3.894749	0.217791
 - 	263	7.431696	-3.894935	0.218364
 - 	264	7.432525	-3.894979	0.218026
 - 	265	7.433407	-3.894753	0.217766
 - 	266	7.432301	-3.894286	0.218457
 - 	267	7.430252	-3.893153	0.219720
 - 	268	7.427869	-3.891347	0.221593
 - 	269	7.426303	-3.888699	0.222795
 - 	270	7.424994	-3.886177	0.224085
 - 	271	7.423404	-3.884175	0.225459
 - 	272	7.422382	-3.882856	0.227424
 - 	273	7.421712	-3.882930	0.230194
 - 	274	7.421474	-3.884608	0.233608
 - 	275	7.421349	-3.887351	0.237594
 - 	276	7.420908	-3.890355	0.241812
 - 	277	7.420413	-3.893259	0.245685
 - 	278	7.419607	-3.895475	0.248652
 - 	279	7.419246	-3.896816	0.250748
 - 	280	7.419535	-3.897374	0.251529
 - 	281	7.420758	-3.896973	0.250282
 - 	282	7.421824	-3.894430	0.246377
 - 	283	7.422158	-3.888642	0.239273
 - 	284	7.422895	-3.885965	0.233058
 - 	285	7.422864	-3.888674	0.230757
 - 	286	7.423122	-3.886912	0.227729
 - 	287	7.423607	-3.888069	0.225433
 - 	288	7.422670	-3.889477	0.224970
 - 	289	7.422355	-3.889181	0.225147
 - 	290	7.421682	-3.888409	0.225784
 - 	291	7.420327	-3.886807	0.227175
 - 	292	7.418346	-3.883914	0.229484
 - 	293	7.415619	-3.880375	0.232609
 - 	294	7.412960	-3.876121	0.235794
 - 	295	7.409956	-3.870871	0.238440
 - 	296	7.405940	-3.864116	0.240308
 - 	297	7.401876	-3.855948	0.241922
 - 	298	7.397851	-3.846910	0.243129
 - 	299	7.393693	-3.837001	0.243627
 - 	300	7.389791	-3.826028	0.242969
 - 	301	7.386790	-3.813821	0.240790
 - 	302	7.383826	-3.800017	0.237000
 - 	303	7.381034	-3.785381	0.232246
 - 	304	7.378314	-3.769861	0.226594
 - 	305	7.375195	-3.754256	0.220439
 - 	306	7.371873	-3.739449	0.214177
 - 	307	7.369100	-3.725510	0.208088
 - 	308	7.366315	-3.712650	0.202252
 - 	309	7.364080	-3.700926	0.196948
 - 	310	7.362183	-3.691595	0.192157
 - 	311	7.359841	-3.685928	0.187944
