KINETIC_KINEMATIC::RFT::ProxEndPos
File	Frame	X 	Y 	Z 
vsfxa-004-004.mvnx	1	0.870588	0.010805	0.149686
 - 	2	0.870635	0.010836	0.147415
 - 	3	0.870645	0.010861	0.148179
 - 	4	0.870654	0.010875	0.147848
 - 	5	0.870650	0.010886	0.147823
 - 	6	0.870659	0.010886	0.147752
 - 	7	0.870632	0.010866	0.147695
 - 	8	0.870654	0.010821	0.147633
 - 	9	0.870655	0.010845	0.147583
 - 	10	0.870654	0.010871	0.147543
 - 	11	0.870652	0.010871	0.147508
 - 	12	0.870644	0.010887	0.147472
 - 	13	0.870658	0.010890	0.147442
 - 	14	0.870635	0.010869	0.147411
 - 	15	0.870597	0.010862	0.147379
 - 	16	0.870576	0.010847	0.147350
 - 	17	0.870563	0.010843	0.147325
 - 	18	0.870582	0.010813	0.147303
 - 	19	0.870579	0.010816	0.147283
 - 	20	0.870582	0.010792	0.147267
 - 	21	0.870554	0.010779	0.147253
 - 	22	0.870511	0.010783	0.147239
 - 	23	0.870480	0.010799	0.147234
 - 	24	0.870470	0.010806	0.147228
 - 	25	0.870465	0.010793	0.147221
 - 	26	0.870497	0.010813	0.147210
 - 	27	0.870497	0.010794	0.147205
 - 	28	0.870472	0.010785	0.147201
 - 	29	0.870425	0.010788	0.147201
 - 	30	0.870420	0.010773	0.147202
 - 	31	0.870428	0.010752	0.147199
 - 	32	0.870426	0.010748	0.147189
 - 	33	0.870447	0.010749	0.147184
 - 	34	0.870447	0.010749	0.147177
 - 	35	0.870425	0.010769	0.147173
 - 	36	0.870431	0.010760	0.147173
 - 	37	0.870427	0.010745	0.147176
 - 	38	0.870426	0.010732	0.147177
 - 	39	0.870428	0.010731	0.147174
 - 	40	0.870443	0.010729	0.147175
 - 	41	0.870448	0.010706	0.147181
 - 	42	0.870469	0.010692	0.147191
 - 	43	0.870471	0.010711	0.147195
 - 	44	0.870529	0.010630	0.147210
 - 	45	0.870525	0.010620	0.147216
 - 	46	0.870523	0.010635	0.147216
 - 	47	0.870520	0.010648	0.147216
 - 	48	0.870506	0.010663	0.147217
 - 	49	0.870500	0.010664	0.147212
 - 	50	0.870560	0.010657	0.147224
 - 	51	0.870549	0.010667	0.147228
 - 	52	0.870537	0.010657	0.147231
 - 	53	0.870525	0.010650	0.147231
 - 	54	0.870522	0.010640	0.147236
 - 	55	0.870502	0.010656	0.147243
 - 	56	0.870556	0.010597	0.147256
 - 	57	0.870508	0.010602	0.147258
 - 	58	0.870475	0.010600	0.147259
 - 	59	0.870451	0.010603	0.147254
 - 	60	0.870431	0.010602	0.147257
 - 	61	0.870443	0.010569	0.147258
 - 	62	0.870430	0.010557	0.147245
 - 	63	0.870437	0.010527	0.147242
 - 	64	0.870438	0.010508	0.147241
 - 	65	0.870475	0.010513	0.147249
 - 	66	0.870482	0.010482	0.147266
 - 	67	0.870491	0.010479	0.147288
 - 	68	0.870433	0.010502	0.147297
 - 	69	0.870426	0.010507	0.147322
 - 	70	0.870427	0.010514	0.147354
 - 	71	0.870416	0.010515	0.147390
 - 	72	0.870399	0.010531	0.147421
 - 	73	0.870394	0.010553	0.147445
 - 	74	0.870397	0.010576	0.147458
 - 	75	0.870439	0.010572	0.147475
 - 	76	0.870464	0.010553	0.147483
 - 	77	0.870490	0.010542	0.147484
 - 	78	0.870502	0.010518	0.147479
 - 	79	0.870521	0.010497	0.147465
 - 	80	0.870605	0.010489	0.147691
 - 	81	0.870577	0.010431	0.147884
 - 	82	0.870560	0.010377	0.148077
 - 	83	0.870519	0.010335	0.148271
 - 	84	0.870469	0.010311	0.148458
 - 	85	0.870438	0.010288	0.148641
 - 	86	0.870387	0.010272	0.148790
 - 	87	0.870298	0.010224	0.148954
 - 	88	0.870201	0.010206	0.149114
 - 	89	0.870117	0.010187	0.149268
 - 	90	0.870016	0.010181	0.149415
 - 	91	0.869930	0.010160	0.149559
 - 	92	0.869834	0.010063	0.149439
 - 	93	0.869755	0.010015	0.149570
 - 	94	0.869677	0.009960	0.149672
 - 	95	0.869632	0.009951	0.149771
 - 	96	0.869550	0.009967	0.149867
 - 	97	0.869485	0.010020	0.149956
 - 	98	0.869364	0.009961	0.150035
 - 	99	0.869372	0.009980	0.150119
 - 	100	0.869427	0.009986	0.150199
 - 	101	0.869452	0.009949	0.149997
 - 	102	0.869439	0.009924	0.150062
 - 	103	0.869418	0.009882	0.150100
 - 	104	0.869353	0.009772	0.150133
 - 	105	0.869363	0.009743	0.150168
 - 	106	0.869371	0.009704	0.150190
 - 	107	0.869353	0.009697	0.150196
 - 	108	0.869331	0.009628	0.150176
 - 	109	0.869311	0.009523	0.150104
 - 	110	0.869244	0.009279	0.149967
 - 	111	0.869169	0.009110	0.149821
 - 	112	0.869063	0.008969	0.149670
 - 	113	0.869047	0.008876	0.149526
 - 	114	0.869084	0.008830	0.149373
 - 	115	0.869116	0.008781	0.149200
 - 	116	0.868940	0.008579	0.149007
 - 	117	0.869103	0.008722	0.148872
 - 	118	0.869148	0.008938	0.148736
 - 	119	0.869023	0.009219	0.148614
 - 	120	0.868772	0.009509	0.148528
 - 	121	0.868542	0.009784	0.148505
 - 	122	0.867962	0.009791	0.148510
 - 	123	0.867889	0.010182	0.148642
 - 	124	0.867855	0.011098	0.148943
 - 	125	0.868046	0.011630	0.149499
 - 	126	0.868644	0.011968	0.150320
 - 	127	0.869962	0.011980	0.151478
 - 	128	0.871336	0.011975	0.152875
 - 	129	0.873146	0.012646	0.154511
 - 	130	0.874493	0.013908	0.156137
 - 	131	0.875329	0.015131	0.157765
 - 	132	0.876036	0.016022	0.159520
 - 	133	0.876706	0.016321	0.161293
 - 	134	0.876938	0.016219	0.162673
 - 	135	0.877693	0.016072	0.164088
 - 	136	0.878378	0.015415	0.165232
 - 	137	0.878376	0.014329	0.165972
 - 	138	0.877774	0.013448	0.166318
 - 	139	0.876999	0.013055	0.166346
 - 	140	0.876437	0.012760	0.165964
 - 	141	0.876544	0.012789	0.165593
 - 	142	0.876896	0.012913	0.164919
 - 	143	0.877269	0.012911	0.163789
 - 	144	0.877981	0.012724	0.162199
 - 	145	0.878651	0.012473	0.160212
 - 	146	0.878796	0.012103	0.157799
 - 	147	0.878889	0.011619	0.155479
 - 	148	0.878894	0.010486	0.153131
 - 	149	0.879256	0.008249	0.150578
 - 	150	0.880221	0.006508	0.147418
 - 	151	0.880547	0.004479	0.143502
 - 	152	0.882002	0.005990	0.140106
 - 	153	0.881327	0.007920	0.137803
 - 	154	0.882302	0.008562	0.136878
 - 	155	0.884250	0.007218	0.136725
 - 	156	0.885426	0.006773	0.136516
 - 	157	0.885705	0.006889	0.136505
 - 	158	0.885230	0.007536	0.136915
 - 	159	0.885574	0.007526	0.137718
 - 	160	0.886061	0.007366	0.138710
 - 	161	0.886331	0.007182	0.139728
 - 	162	0.886230	0.007223	0.140562
 - 	163	0.886019	0.007331	0.141160
 - 	164	0.885812	0.007949	0.141859
 - 	165	0.885111	0.008134	0.142534
 - 	166	0.884189	0.008472	0.143286
 - 	167	0.883325	0.008877	0.144139
 - 	168	0.882423	0.009492	0.145316
 - 	169	0.881840	0.009504	0.146664
 - 	170	0.881512	0.009721	0.148359
 - 	171	0.881475	0.009194	0.150229
 - 	172	0.881910	0.008720	0.152074
 - 	173	0.882467	0.008356	0.153840
 - 	174	0.882931	0.008175	0.155498
 - 	175	0.883383	0.008012	0.156702
 - 	176	0.884116	0.007964	0.158495
 - 	177	0.884690	0.007108	0.160540
 - 	178	0.884829	0.006022	0.162642
 - 	179	0.884533	0.004676	0.164650
 - 	180	0.884369	0.002723	0.166439
 - 	181	0.884326	0.000383	0.167828
 - 	182	0.884209	-0.001197	0.168629
 - 	183	0.883885	-0.002188	0.169013
 - 	184	0.883942	-0.002527	0.169050
 - 	185	0.884549	-0.002372	0.168825
 - 	186	0.885597	-0.001835	0.168356
 - 	187	0.886975	-0.000771	0.167637
 - 	188	0.888627	0.001019	0.166596
 - 	189	0.889751	0.003128	0.165374
 - 	190	0.890185	0.005507	0.163946
 - 	191	0.890051	0.008001	0.162319
 - 	192	0.889496	0.010308	0.160498
 - 	193	0.888703	0.012468	0.158524
 - 	194	0.888198	0.014791	0.156378
 - 	195	0.887834	0.016841	0.154070
 - 	196	0.887397	0.018829	0.151585
 - 	197	0.887196	0.020608	0.148719
 - 	198	0.887622	0.021695	0.145372
 - 	199	0.890459	0.020636	0.141330
 - 	200	0.891338	0.019882	0.136046
 - 	201	0.893132	0.020416	0.130435
 - 	202	0.893135	0.022888	0.126384
 - 	203	0.894461	0.024650	0.127523
 - 	204	0.896078	0.024028	0.129326
 - 	205	0.896881	0.024305	0.131248
 - 	206	0.896706	0.025141	0.132944
 - 	207	0.896563	0.025680	0.134386
 - 	208	0.896935	0.025365	0.135843
 - 	209	0.897268	0.024820	0.137427
 - 	210	0.897158	0.024345	0.138945
 - 	211	0.896766	0.024373	0.140091
 - 	212	0.896665	0.024909	0.141059
 - 	213	0.896249	0.025117	0.141595
 - 	214	0.895573	0.025679	0.141957
 - 	215	0.894739	0.026223	0.142240
 - 	216	0.893903	0.026616	0.142562
 - 	217	0.893230	0.026621	0.142991
 - 	218	0.892827	0.026710	0.143803
 - 	219	0.892473	0.025882	0.144851
 - 	220	0.892318	0.025059	0.146262
 - 	221	0.892124	0.024675	0.147936
 - 	222	0.891960	0.024715	0.149854
 - 	223	0.891920	0.024969	0.151802
 - 	224	0.892119	0.025180	0.153024
 - 	225	0.891926	0.025165	0.154865
 - 	226	0.891766	0.024758	0.156174
 - 	227	0.891178	0.023648	0.157721
 - 	228	0.890499	0.021628	0.159369
 - 	229	0.889684	0.019181	0.161128
 - 	230	0.888726	0.016449	0.162913
 - 	231	0.887567	0.013242	0.164588
 - 	232	0.885898	0.010254	0.165866
 - 	233	0.884157	0.007991	0.166700
 - 	234	0.882936	0.006579	0.167190
 - 	235	0.882306	0.005850	0.167352
 - 	236	0.882691	0.005970	0.167138
 - 	237	0.883775	0.006677	0.166714
 - 	238	0.885186	0.007810	0.166055
 - 	239	0.886546	0.009135	0.165175
 - 	240	0.887637	0.010358	0.164049
 - 	241	0.888183	0.011455	0.162603
 - 	242	0.888130	0.012551	0.160787
 - 	243	0.887823	0.013466	0.158780
 - 	244	0.887266	0.014105	0.156461
 - 	245	0.886917	0.014593	0.153728
 - 	246	0.887222	0.014766	0.150535
 - 	247	0.887742	0.014530	0.146518
 - 	248	0.888835	0.013825	0.141553
 - 	249	0.891510	0.011726	0.135515
 - 	250	0.893911	0.010861	0.128815
 - 	251	0.894507	0.014588	0.123982
 - 	252	0.893986	0.018473	0.125906
 - 	253	0.896235	0.020224	0.129211
 - 	254	0.897687	0.018706	0.131722
 - 	255	0.897565	0.018212	0.133923
 - 	256	0.897175	0.018248	0.135878
 - 	257	0.897154	0.018317	0.137825
 - 	258	0.897405	0.018109	0.139854
 - 	259	0.897465	0.017531	0.141655
 - 	260	0.897353	0.017348	0.143185
 - 	261	0.896548	0.017514	0.144233
 - 	262	0.895456	0.017996	0.144930
 - 	263	0.894111	0.018419	0.145309
 - 	264	0.892563	0.018692	0.145633
 - 	265	0.891740	0.018646	0.145873
 - 	266	0.891214	0.018841	0.146212
 - 	267	0.890857	0.018707	0.146569
 - 	268	0.890541	0.018533	0.146840
 - 	269	0.890668	0.018240	0.147068
 - 	270	0.890988	0.017883	0.147139
 - 	271	0.891701	0.017456	0.147111
 - 	272	0.892412	0.017446	0.147133
 - 	273	0.892479	0.017447	0.147059
 - 	274	0.891542	0.017393	0.146930
 - 	275	0.891019	0.017319	0.146744
 - 	276	0.890794	0.017193	0.146513
 - 	277	0.890770	0.017057	0.146258
 - 	278	0.890930	0.017086	0.146051
 - 	279	0.890903	0.016938	0.145812
 - 	280	0.891142	0.016818	0.145626
 - 	281	0.891496	0.016746	0.145510
 - 	282	0.891942	0.016718	0.145484
 - 	283	0.892187	0.016705	0.145514
 - 	284	0.892302	0.016824	0.145638
 - 	285	0.892120	0.016708	0.145694
 - 	286	0.892013	0.016622	0.145753
 - 	287	0.892144	0.016625	0.145880
 - 	288	0.892484	0.016693	0.146071
 - 	289	0.892871	0.016802	0.146265
 - 	290	0.893398	0.017000	0.146510
 - 	291	0.893559	0.017036	0.146657
 - 	292	0.893548	0.017070	0.146750
 - 	293	0.893386	0.017185	0.146828
 - 	294	0.893296	0.017314	0.146953
 - 	295	0.893398	0.017442	0.147119
 - 	296	0.893684	0.017659	0.147313
 - 	297	0.893641	0.017701	0.147132
 - 	298	0.893660	0.017692	0.147164
 - 	299	0.893677	0.017632	0.147179
 - 	300	0.893662	0.017580	0.147228
 - 	301	0.893683	0.017527	0.147312
 - 	302	0.893808	0.017543	0.147466
 - 	303	0.893757	0.017597	0.147589
 - 	304	0.893728	0.017650	0.147676
 - 	305	0.893731	0.017657	0.147729
 - 	306	0.893741	0.017600	0.147770
 - 	307	0.893834	0.017504	0.147813
 - 	308	0.894071	0.017466	0.147908
 - 	309	0.894101	0.017410	0.147956
 - 	310	0.894079	0.017416	0.147992
 - 	311	0.894106	0.017438	0.148027
 - 	312	0.894149	0.017419	0.148075
 - 	313	0.894191	0.017355	0.148124
 - 	314	0.894362	0.017293	0.148217
 - 	315	0.894282	0.017266	0.148266
 - 	316	0.894221	0.017228	0.148288
 - 	317	0.894200	0.017223	0.148283
 - 	318	0.894215	0.017234	0.148277
 - 	319	0.894259	0.017222	0.148267
 - 	320	0.894445	0.017215	0.148289
 - 	321	0.894423	0.017197	0.148273
 - 	322	0.894442	0.017156	0.148252
 - 	323	0.894512	0.017175	0.147861
 - 	324	0.894544	0.017189	0.147540
 - 	325	0.894578	0.017186	0.147222
 - 	326	0.894748	0.017190	0.147235
 - 	327	0.894729	0.017206	0.147214
 - 	328	0.894778	0.017215	0.147216
 - 	329	0.894842	0.017243	0.146944
 - 	330	0.894859	0.017261	0.146712
 - 	331	0.894872	0.017249	0.146738
 - 	332	0.895051	0.017203	0.146534
 - 	333	0.895027	0.017197	0.146312
 - 	334	0.895003	0.017170	0.146089
 - 	335	0.895011	0.017152	0.145890
 - 	336	0.895036	0.017135	0.145711
 - 	337	0.895045	0.017129	0.145532
 - 	338	0.895168	0.017071	0.145653
 - 	339	0.895151	0.017026	0.145483
 - 	340	0.895128	0.017010	0.145349
 - 	341	0.895096	0.017005	0.145465
 - 	342	0.895118	0.017003	0.145340
 - 	343	0.895170	0.016980	0.145465
 - 	344	0.895340	0.016889	0.145372
 - 	345	0.895322	0.016857	0.145261
 - 	346	0.895310	0.016854	0.145148
 - 	347	0.895242	0.016870	0.145048
 - 	348	0.895262	0.016837	0.144967
 - 	349	0.895311	0.016795	0.145141
 - 	350	0.895522	0.016637	0.145335
 - 	351	0.895501	0.016597	0.145511
 - 	352	0.895486	0.016580	0.145473
 - 	353	0.895478	0.016565	0.145422
 - 	354	0.895432	0.016582	0.145354
 - 	355	0.895442	0.016577	0.145280
 - 	356	0.895597	0.016456	0.145473
 - 	357	0.895637	0.016461	0.145591
 - 	358	0.895644	0.016481	0.145486
 - 	359	0.895661	0.016473	0.145392
 - 	360	0.895657	0.016486	0.145284
 - 	361	0.895664	0.016497	0.145396
 - 	362	0.895835	0.016339	0.145329
 - 	363	0.895837	0.016341	0.145255
 - 	364	0.895814	0.016394	0.145183
 - 	365	0.895817	0.016410	0.145106
 - 	366	0.895805	0.016407	0.145014
 - 	367	0.895823	0.016391	0.144930
 - 	368	0.895973	0.016237	0.144890
 - 	369	0.895920	0.016231	0.144819
 - 	370	0.895867	0.016265	0.144750
